,segid,elevation,length,surgo,slope,management,soilfile,landuse,xx,yy,fbndid,genlu,gridorder,x,y
0,0,269.0,0.0,407631,0.058962263,3333333333333333,DEP_407631.SOL,CCCCCBCCBCCBCCCC,222648.46330000088,2065415.5574999992,241,0,1,-93.31,41.57
1,1,268.75,4.24,407631,0.053333335,3333333333333333,DEP_407631.SOL,CCCCCBCCBCCBCCCC,222651.5364000015,2065412.6300000008,241,0,2,-93.31,41.57
2,2,268.59,7.24,407631,0.05666667,3333333333333333,DEP_407631.SOL,CCCCCBCCBCCBCCCC,222654.51319999993,2065412.7251999993,241,0,2,-93.31,41.57
3,3,268.42,10.24,407631,0.06666667,3333333333333333,DEP_407631.SOL,CCCCCBCCBCCBCCCC,222657.49010000005,2065412.8202999998,241,0,2,-93.31,41.57
4,4,268.22,13.24,407631,0.07666667,3333333333333333,DEP_407631.SOL,CCCCCBCCBCCBCCCC,222660.4668999985,2065412.9155000001,241,0,2,-93.31,41.57
5,5,267.99,16.24,407631,0.09,3333333333333333,DEP_407631.SOL,CCCCCBCCBCCBCCCC,222663.44370000064,2065413.0106000006,431,0,2,-93.31,41.57
6,6,267.72,19.24,407631,0.09,3333333333333333,DEP_407631.SOL,CCCCCBCCBCCBCCCC,222666.42060000077,2065413.105799999,431,0,2,-93.31,41.57
7,7,267.45,22.24,407631,0.09,3333333333333333,DEP_407631.SOL,CCCCCBCCBCCBCCCC,222669.3973999992,2065413.2008999996,431,0,2,-93.31,41.57
8,8,267.18,25.24,407631,0.09,3333333333333333,DEP_407631.SOL,CCCCCBCCBCCBCCCC,222672.37429999933,2065413.2961,431,0,2,-93.31,41.57
9,9,266.91,28.24,407631,0.09,3333333333333333,DEP_407631.SOL,CCCCCBCCBCCBCCCC,222675.35110000148,2065413.3912000004,431,0,2,-93.31,41.57
10,10,266.64,31.24,407631,0.09,3333333333333333,DEP_407631.SOL,CCCCCBCCBCCBCCCC,222678.32789999992,2065413.486300001,431,0,2,-93.31,41.57
11,11,266.37,34.24,407631,0.083333336,3333333333333333,DEP_407631.SOL,CCCCCBCCBCCBCCCC,222681.30480000004,2065413.5814999994,431,0,2,-93.31,41.57
12,12,266.12,37.24,407631,0.07333333,3333333333333333,DEP_407631.SOL,CCCCCBCCBCCBCCCC,222684.28159999847,2065413.6766,431,0,2,-93.31,41.57
13,13,265.9,40.24,407631,0.06603774,3333333333333333,DEP_407631.SOL,CCCCCBCCBCCBCCCC,222687.25840000063,2065413.7718000002,431,0,2,-93.31,41.57
14,14,265.62,44.48,407631,0.068396226,3333333333333333,DEP_407631.SOL,CCCCCBCCBCCBCCCC,222690.13899999857,2065416.8895999994,431,0,2,-93.31,41.57
15,15,265.33,48.72,407631,0.06823529,3333333333333333,DEP_407631.SOL,CCCCCBCCBCCBCCCC,222693.01960000023,2065420.0073000006,431,0,2,-93.31,41.57
16,16,265.04,52.97,407631,0.068396226,3333333333333333,DEP_407631.SOL,CCCCCBCCBCCBCCCC,222695.9001000002,2065423.1250999998,431,0,2,-93.31,41.57
17,17,264.75,57.21,407631,0.061320756,3333333333333333,DEP_407631.SOL,CCCCCBCCBCCBCCCC,222698.78069999814,2065426.242900001,431,0,2,-93.31,41.57
18,18,264.49,61.45,407631,0.046666667,3333333333333333,DEP_407631.SOL,CCCCCBCCBCCBCCCC,222701.6612999998,2065429.3607,431,0,2,-93.31,41.57
19,19,264.35,64.45,407631,0.04,3333333333333333,DEP_407631.SOL,CCCCCBCCBCCBCCCC,222701.56500000134,2065432.3833000008,431,0,2,-93.31,41.57
20,20,264.23,67.45,407671,0.046666667,3333333333333333,DEP_407671.SOL,CCCCCBCCBCCBCCCC,222701.46869999915,2065435.4058999997,431,0,2,-93.31,41.57
21,21,264.09,70.45,407671,0.043333333,3333333333333333,DEP_407671.SOL,CCCCCBCCBCCBCCCC,222701.3724000007,2065438.4286000002,431,0,3,-93.31,41.57
22,22,263.96,73.45,407671,0.04481132,3333333333333333,DEP_407671.SOL,CCCCCBCCBCCBCCCC,222701.2762000002,2065441.451199999,431,0,3,-93.31,41.57
23,23,263.77,77.69,407671,0.049411766,3333333333333333,DEP_407671.SOL,CCCCCBCCBCCBCCCC,222704.15670000017,2065444.5690000001,431,0,3,-93.31,41.57
24,24,263.56,81.94,407671,0.056603774,3333333333333333,DEP_407671.SOL,CCCCCBCCBCCBCCCC,222707.03730000183,2065447.6867999993,431,0,3,-93.31,41.57
25,25,263.32,86.18,407671,0.0495283,3333333333333333,DEP_407671.SOL,CCCCCBCCBCCBCCCC,222709.91789999977,2065450.8045000006,431,0,3,-93.31,41.57
26,26,263.11,90.42,407671,0.035377357,3333333333333333,DEP_407671.SOL,CCCCCBCCBCCBCCCC,222712.79839999974,2065453.9222999997,431,0,3,-93.31,41.57
27,27,262.96,94.66,407671,0.19058824,3333333333333333,DEP_407671.SOL,CCCCCBCCBCCBCCCC,222715.6790000014,2065457.0401000008,431,0,3,-93.31,41.57
28,28,262.15,98.91,407671,0.19333333,3333333333333333,DEP_407671.SOL,CCCCCBCCBCCBCCCC,222718.55950000137,2065460.1579,431,0,3,-93.31,41.57
29,29,261.57,101.91,407671,0.0,3333333333333333,DEP_407671.SOL,CCCCCBCCBCCBCCCC,222718.46330000088,2065463.1805000007,431,0,3,-93.31,41.57
30,30,261.57,106.15,407671,0.0,3333333333333333,DEP_407671.SOL,CCCCCBCCBCCBCCCC,222721.5364000015,2065460.2530000005,431,0,3,-93.31,41.57
