date,total
2018-04-15 00:00:00,638
2018-04-16 00:00:00,846
2018-04-17 00:00:00,1029
2018-04-18 00:00:00,1071
2018-04-19 00:00:00,1224
2018-04-20 00:00:00,1344
2018-04-21 00:00:00,1543
2018-04-22 00:00:00,1790
2018-04-23 00:00:00,1992
2018-04-24 00:00:00,2136
2018-04-25 00:00:00,2277
2018-04-26 00:00:00,2433
2018-04-27 00:00:00,2571
2018-04-28 00:00:00,2666
2018-04-29 00:00:00,2761
2018-04-30 00:00:00,2859
2018-05-01 00:00:00,2893
2018-05-02 00:00:00,2896
2018-05-03 00:00:00,2898
2018-05-04 00:00:00,2948
2018-05-05 00:00:00,3006
2018-05-06 00:00:00,3072
2018-05-07 00:00:00,3182
2018-05-08 00:00:00,3245
2018-05-09 00:00:00,3279
2018-05-10 00:00:00,3310
2018-05-11 00:00:00,3322
2018-05-12 00:00:00,3324
2018-05-13 00:00:00,3338
2018-05-14 00:00:00,3348
2018-05-15 00:00:00,3364
2018-05-16 00:00:00,3378
2018-05-17 00:00:00,3393
2018-05-18 00:00:00,3417
2018-05-19 00:00:00,3421
2018-05-20 00:00:00,3426
2018-05-21 00:00:00,3431
2018-05-22 00:00:00,3443
2018-05-23 00:00:00,3473
2018-05-24 00:00:00,3507
2018-05-25 00:00:00,3548
2018-05-26 00:00:00,3580
2018-05-27 00:00:00,3620
2018-05-28 00:00:00,3638
2018-05-29 00:00:00,3650
2018-05-30 00:00:00,3707
